timestamp,temp,hum,mic,ax,ay,az
1773578183.712233,22.0,30.0,1,-4172,-128,-12
1773578183.7325609,22.0,30.0,1,-4164,-128,16
1773578183.7532315,22.0,30.0,1,-4164,-128,16
1773578183.7740366,22.0,30.0,1,-4164,-128,16
1773578183.7944798,22.0,30.0,0,-4180,-92,-4
1773578183.815012,22.0,30.0,0,-4180,-92,-4
1773578183.8352292,22.0,30.0,0,-4180,-92,-4
1773578183.8559422,22.0,30.0,0,-4152,-144,-12
1773578183.8765023,22.0,30.0,0,-4152,-144,-12
1773578183.8969827,22.0,30.0,0,-4184,-116,16
1773578183.920935,22.0,30.0,0,-4184,-116,16
1773578183.9423444,22.0,30.0,0,-4184,-116,16
1773578183.9629834,22.0,30.0,1,-4160,-80,28
1773578183.983699,22.0,30.0,1,-4160,-80,28
1773578184.0043027,22.0,30.0,0,-4164,-136,-8
1773578184.024797,22.0,30.0,0,-4164,-136,-8
1773578184.04571,22.0,30.0,0,-4164,-136,-8
1773578184.066159,22.0,30.0,1,-4212,-116,4
1773578184.086633,22.0,30.0,1,-4212,-116,4
1773578184.1070876,22.0,30.0,1,-4172,-84,44
1773578184.1277301,22.0,30.0,1,-4172,-84,44
1773578184.1480565,22.0,30.0,1,-4172,-84,44
1773578184.1688538,22.0,30.0,1,-4188,-124,-12
1773578184.189351,22.0,30.0,1,-4188,-124,-12
1773578184.2096224,22.0,30.0,1,-4168,-128,-20
1773578184.2298725,22.0,30.0,1,-4168,-128,-20
1773578184.252554,22.0,30.0,1,-4168,-128,-20
1773578184.2730033,22.0,30.0,1,-4144,-116,4
1773578184.2938442,22.0,30.0,1,-4144,-116,4
1773578184.314697,22.0,30.0,0,-4164,-104,32
1773578184.3352609,22.0,30.0,0,-4164,-104,32
1773578184.3555374,22.0,30.0,0,-4164,-104,32
1773578184.3757327,22.0,30.0,0,-4172,-120,-4
1773578184.3963661,22.0,30.0,0,-4172,-120,-4
1773578184.4169881,22.0,30.0,0,-4172,-120,-4
1773578184.4375947,22.0,30.0,0,-4168,-116,4
1773578184.457932,22.0,30.0,0,-4168,-116,4
1773578184.4785273,22.0,30.0,0,-4156,-116,4
1773578184.4989035,22.0,30.0,0,-4156,-116,4
1773578184.5192196,22.0,30.0,0,-4156,-116,4
1773578184.5396485,22.0,30.0,1,-4176,-108,0
1773578184.5602827,22.0,30.0,1,-4176,-108,0
1773578184.5806441,22.0,30.0,0,-4184,-112,-12
1773578184.6009443,22.0,30.0,0,-4184,-112,-12
1773578184.6215844,22.0,30.0,0,-4184,-112,-12
1773578184.6424365,22.0,30.0,1,-4168,-92,20
1773578184.6630702,22.0,30.0,1,-4168,-92,20
1773578184.683784,22.0,30.0,1,-4168,-92,20
1773578184.7044027,22.0,30.0,0,-4192,-116,16
1773578184.7250075,22.0,30.0,0,-4192,-116,16
1773578184.7455187,22.0,30.0,1,-4172,-128,-12
1773578184.7660067,22.0,30.0,1,-4172,-128,-12
1773578184.786897,22.0,30.0,1,-4172,-128,-12
1773578184.8076296,22.0,30.0,1,-4176,-124,-12
1773578184.8281918,22.0,30.0,1,-4176,-124,-12
1773578184.8485875,22.0,30.0,1,-4168,-152,12
1773578184.869202,22.0,30.0,1,-4168,-152,12
