timestamp,temp,hum,mic,ax,ay,az
1773578753.872747,21.4,31.2,0,-4184,-104,72
1773578753.8937206,21.4,31.2,0,-4184,-104,72
1773578753.9144118,21.4,31.2,0,-4192,-116,80
1773578753.9353828,21.4,31.2,0,-4192,-116,80
1773578753.9557881,21.4,31.2,0,-4184,-132,44
1773578753.976898,21.4,31.2,0,-4184,-132,44
1773578753.9976764,21.4,31.2,0,-4184,-132,44
1773578754.018309,21.4,31.2,0,-4184,-112,64
1773578754.0390627,21.4,31.2,0,-4184,-112,64
1773578754.0595727,21.4,31.2,0,-4180,-144,44
1773578754.0800984,21.4,31.2,0,-4180,-144,44
1773578754.1011221,21.4,31.2,0,-4180,-144,44
1773578754.1215663,21.4,31.2,0,-4164,-112,36
1773578754.14305,21.4,31.2,0,-4164,-112,36
1773578754.1633604,21.4,31.2,0,-4172,-124,76
1773578754.183998,21.4,31.2,0,-4172,-124,76
1773578754.204411,21.4,31.2,0,-4172,-124,76
1773578754.2250938,21.4,31.2,0,-4192,-92,24
1773578754.245627,21.4,31.2,0,-4192,-92,24
1773578754.2660053,21.4,31.2,0,-4184,-100,48
1773578754.2863522,21.4,31.2,0,-4184,-100,48
1773578754.306945,21.4,31.2,0,-4184,-100,48
1773578754.3278077,21.4,31.2,0,-4188,-140,60
1773578754.3483055,21.4,31.2,0,-4188,-140,60
1773578754.3687725,21.4,31.2,0,-4188,-140,60
1773578754.3891098,21.4,31.2,0,-4172,-100,64
1773578754.409363,21.4,31.2,0,-4172,-100,64
1773578754.4298327,21.4,31.2,0,-4184,-132,52
1773578754.4503577,21.4,31.2,0,-4184,-132,52
1773578754.4708989,21.4,31.2,0,-4184,-132,52
1773578754.491207,21.4,31.2,0,-4188,-84,56
1773578754.5118775,21.4,31.2,0,-4188,-84,56
1773578754.5325608,21.4,31.2,0,-4152,-112,60
1773578754.5530522,21.4,31.2,0,-4152,-112,60
1773578754.573616,21.4,31.2,0,-4152,-112,60
1773578754.594246,21.4,31.2,0,-4168,-108,64
1773578754.6146822,21.4,31.2,0,-4168,-108,64
1773578754.6350477,21.4,31.2,0,-4168,-108,64
1773578754.655221,21.4,31.2,0,-4180,-128,80
1773578754.6757648,21.4,31.2,0,-4180,-128,80
1773578754.6963196,21.4,31.2,0,-4164,-72,12
1773578754.7168136,21.4,31.2,0,-4164,-72,12
1773578754.7374527,21.4,31.2,0,-4164,-72,12
1773578754.7581024,21.4,31.2,0,-4204,-140,76
1773578754.7787213,21.4,31.2,0,-4204,-140,76
1773578754.7990751,21.4,31.2,0,-4164,-136,12
1773578754.8204846,21.4,31.2,0,-4164,-136,12
1773578754.8447907,21.4,31.2,0,-4164,-136,12
1773578754.8654053,21.4,31.2,0,-4148,-136,16
1773578754.8864162,21.4,31.2,0,-4148,-136,16
1773578754.9069374,21.4,31.2,0,-4176,-116,20
1773578754.9273944,21.4,31.2,0,-4176,-116,20
1773578754.9477592,21.4,31.2,0,-4176,-116,20
1773578754.9685333,21.4,31.2,0,-4176,-120,100
1773578754.9889555,21.4,31.2,0,-4176,-120,100
1773578755.0097163,21.4,31.2,0,-4176,-120,100
1773578755.0300653,21.4,31.2,0,-4208,-124,64
1773578755.0508375,21.4,31.2,0,-4208,-124,64
1773578755.0714655,21.4,31.2,0,-4172,-76,60
1773578755.0918648,21.4,31.2,0,-4172,-76,60
1773578755.112319,21.4,31.2,0,-4172,-76,60
1773578755.1325643,21.4,31.2,0,-4124,-148,84
1773578755.1531928,21.4,31.2,0,-4124,-148,84
1773578755.1738062,21.4,31.2,0,-4168,-132,64
1773578755.194196,21.4,31.2,0,-4168,-132,64
1773578755.2149434,21.4,31.2,0,-4168,-132,64
1773578755.235407,21.4,31.2,0,-4296,-160,12
1773578755.2558897,21.4,31.2,0,-4296,-160,12
1773578755.2763507,21.4,31.2,0,-4196,-64,-16
1773578755.2969875,21.4,31.2,0,-4196,-64,-16
1773578755.3176773,21.4,31.2,0,-4196,-64,-16
1773578755.33849,21.4,31.2,0,-4112,-148,44
1773578755.3588328,21.4,31.2,0,-4112,-148,44
1773578755.379274,21.4,31.2,0,-4160,-132,180
1773578755.400034,21.4,31.2,0,-4160,-132,180
1773578755.4206483,21.4,31.2,0,-4160,-132,180
1773578755.4410362,21.4,31.2,0,-4300,-56,24
1773578755.4612315,21.4,31.2,0,-4300,-56,24
1773578755.4816074,21.4,31.2,0,-4300,-56,24
1773578755.5022109,21.4,31.2,0,-4200,-96,48
1773578755.5228102,21.4,31.2,0,-4200,-96,48
1773578755.543346,21.4,31.2,0,-4200,-96,48
1773578755.5637274,21.4,31.1,0,-4140,-80,136
1773578755.5843017,21.4,31.1,0,-4140,-80,136
1773578755.604743,21.4,31.1,0,-4140,-80,136
1773578755.6251915,21.4,31.1,0,-4164,-80,124
1773578755.6456215,21.4,31.1,0,-4164,-80,124
1773578755.6658623,21.4,31.1,0,-4164,-80,124
1773578755.686252,21.4,31.1,0,-4040,-84,-16
1773578755.7068048,21.4,31.1,0,-4040,-84,-16
1773578755.7274406,21.4,31.1,0,-4264,-176,136
1773578755.7477806,21.4,31.1,0,-4264,-176,136
1773578755.7687302,21.4,31.1,0,-4264,-176,136
1773578755.7890942,21.4,31.1,0,-4188,-44,56
1773578755.8097584,21.4,31.1,0,-4188,-44,56
1773578755.8300343,21.4,31.1,0,-4240,-212,136
1773578755.8504379,21.4,31.1,0,-4240,-212,136
1773578755.8708699,21.4,31.1,0,-4240,-212,136
1773578755.8912973,21.4,31.1,0,-4156,-8,-60
1773578755.9122431,21.4,31.1,0,-4156,-8,-60
1773578755.9339147,21.4,31.1,0,-4156,-8,-60
1773578755.9547572,21.4,31.1,0,-4204,-192,336
1773578755.9774418,21.4,31.1,0,-4204,-192,336
1773578755.998043,21.4,31.1,0,-4056,-28,-28
1773578756.0184836,21.4,31.1,0,-4056,-28,-28
1773578756.0390384,21.4,31.1,0,-4056,-28,-28
1773578756.0595741,21.4,31.1,0,-4156,-212,80
1773578756.0805886,21.4,31.1,0,-4156,-212,80
1773578756.1010134,21.4,31.1,0,-4000,-12,56
1773578756.1215973,21.4,31.1,0,-4000,-12,56
1773578756.1420283,21.4,31.1,0,-4000,-12,56
1773578756.1623545,21.4,31.1,0,-4288,-216,120
1773578756.1828878,21.4,31.1,0,-4288,-216,120
1773578756.2034805,21.4,31.1,0,-4192,-20,64
