timestamp,temp,hum,mic,ax,ay,az
1773578474.7846103,21.8,28.9,1,-4196,-68,24
1773578474.8051972,21.8,28.9,1,-4196,-68,24
1773578474.8259177,21.8,28.9,1,-4176,-108,16
1773578474.8465705,21.8,28.9,1,-4176,-108,16
1773578474.86735,21.8,28.9,1,-4188,-112,-20
1773578474.8877847,21.8,28.9,1,-4188,-112,-20
1773578474.9080892,21.8,28.9,1,-4188,-112,-20
1773578474.9284315,21.8,28.9,1,-4172,-128,-16
1773578474.9489908,21.8,28.9,1,-4172,-128,-16
1773578474.9692173,21.8,28.9,1,-4176,-128,16
1773578474.9896154,21.8,28.9,1,-4176,-128,16
1773578475.0101092,21.8,28.9,1,-4176,-128,16
1773578475.0304644,21.8,28.9,1,-4180,-108,16
1773578475.050985,21.8,28.9,1,-4180,-108,16
1773578475.072225,21.8,28.9,1,-4180,-108,16
1773578475.092746,21.8,28.9,0,-4164,-112,-4
1773578475.113453,21.8,28.9,0,-4164,-112,-4
1773578475.1342232,21.8,28.9,1,-4164,-116,20
1773578475.154746,21.8,28.9,1,-4164,-116,20
1773578475.1751907,21.8,28.9,1,-4164,-116,20
1773578475.1959527,21.8,28.9,1,-4184,-88,16
1773578475.2168255,21.8,28.9,1,-4184,-88,16
1773578475.2373617,21.8,28.9,1,-4164,-128,8
1773578475.257794,21.8,28.9,1,-4164,-128,8
1773578475.2780979,21.8,28.9,1,-4164,-128,8
1773578475.298952,21.8,28.9,0,-4164,-124,-12
1773578475.3194473,21.8,28.9,0,-4164,-124,-12
1773578475.3398485,21.8,28.9,0,-4164,-120,24
1773578475.360419,21.8,28.9,0,-4164,-120,24
1773578475.3810706,21.8,28.9,0,-4164,-120,24
1773578475.4026043,21.8,28.9,1,-4160,-104,-4
1773578475.423046,21.8,28.9,1,-4160,-104,-4
1773578475.4432905,21.8,28.9,1,-4160,-104,-4
1773578475.463886,21.8,28.9,1,-4164,-96,-16
1773578475.484741,21.8,28.9,1,-4164,-96,-16
1773578475.5050683,21.8,28.9,1,-4156,-128,4
1773578475.5255127,21.8,28.9,1,-4156,-128,4
1773578475.546159,21.8,28.9,1,-4156,-128,4
1773578475.5666702,21.8,28.9,0,-4188,-112,0
1773578475.5871606,21.8,28.9,0,-4188,-112,0
1773578475.6075444,21.8,28.9,1,-4172,-108,-8
1773578475.6282575,21.8,28.9,1,-4172,-108,-8
1773578475.6485453,21.8,28.9,1,-4172,-108,-8
1773578475.6694498,21.8,28.9,1,-4140,-144,-4
1773578475.6901312,21.8,28.9,1,-4140,-144,-4
1773578475.7104359,21.8,28.9,1,-4188,-124,16
1773578475.7310867,21.8,28.9,1,-4188,-124,16
1773578475.7518663,21.8,28.9,1,-4188,-124,16
1773578475.7721791,21.8,28.9,1,-4172,-128,-12
1773578475.7925298,21.8,28.9,1,-4172,-128,-12
1773578475.8127337,21.8,28.9,1,-4172,-128,-12
1773578475.833183,21.8,28.9,1,-4136,-124,-8
1773578475.8534136,21.8,28.9,1,-4136,-124,-8
1773578475.8740456,21.8,28.9,0,-4192,-116,36
1773578475.8946612,21.8,28.9,0,-4192,-116,36
1773578475.9157748,21.8,28.9,0,-4192,-116,36
1773578475.936322,21.8,28.9,1,-4204,-120,0
1773578475.956713,21.8,28.9,1,-4204,-120,0
1773578475.9772243,21.8,28.9,1,-4160,-112,-8
1773578475.997803,21.8,28.9,1,-4160,-112,-8
1773578476.0184278,21.8,28.9,1,-4160,-112,-8
1773578476.039048,21.8,28.9,1,-4200,-112,28
1773578476.059538,21.8,28.9,1,-4200,-112,28
1773578476.08013,21.8,28.9,1,-4200,-112,28
1773578476.1007788,21.8,28.9,1,-4176,-128,4
1773578476.1212885,21.8,28.9,1,-4176,-128,4
1773578476.1419036,21.8,28.9,1,-4168,-120,-20
1773578476.1621823,21.8,28.9,1,-4168,-120,-20
1773578476.1826816,21.8,28.9,1,-4168,-120,-20
1773578476.2032695,21.8,28.9,1,-4160,-112,4
1773578476.2239373,21.8,28.9,1,-4160,-112,4
1773578476.244329,21.8,28.9,1,-4184,-128,0
1773578476.2649221,21.8,28.9,1,-4184,-128,0
1773578476.2850468,21.8,28.9,1,-4184,-128,0
1773578476.3053205,21.8,28.9,1,-4176,-128,4
1773578476.325929,21.8,28.9,1,-4176,-128,4
1773578476.3463888,21.8,28.9,1,-4176,-128,4
1773578476.3668473,21.8,28.9,1,-4160,-124,-28
1773578476.3876977,21.8,28.9,1,-4160,-124,-28
1773578476.4091682,21.8,28.9,1,-4152,-124,36
1773578476.4309561,21.8,28.9,1,-4152,-124,36
1773578476.4519954,21.8,28.9,1,-4152,-124,36
1773578476.472482,21.8,28.9,1,-4152,-124,36
1773578476.4927313,21.8,28.9,1,-4156,-116,-8
1773578476.5136297,21.8,28.9,1,-4156,-116,-8
1773578476.5339205,21.8,28.9,1,-4172,-116,16
1773578476.5547996,21.8,28.9,1,-4172,-116,16
1773578476.5753124,21.8,28.9,1,-4172,-116,16
1773578476.59554,21.8,28.9,1,-4176,-104,8
1773578476.6158602,21.8,28.9,1,-4176,-104,8
1773578476.6365302,21.8,28.9,1,-4176,-104,8
1773578476.6570597,21.8,28.9,0,-4160,-116,-20
1773578476.6781125,21.8,28.9,0,-4160,-116,-20
1773578476.6987383,21.8,28.9,1,-4176,-104,12
1773578476.7192066,21.8,28.9,1,-4176,-104,12
1773578476.7395425,21.8,28.9,1,-4176,-104,12
1773578476.7598996,21.8,28.9,1,-4200,-116,24
1773578476.7802992,21.8,28.9,1,-4200,-116,24
1773578476.8009098,21.8,28.9,1,-4180,-124,-44
1773578476.8212776,21.8,28.9,1,-4180,-124,-44
1773578476.8416626,21.8,28.9,1,-4180,-124,-44
1773578476.8624687,21.8,28.9,1,-4184,-140,-4
1773578476.8830574,21.8,28.9,1,-4184,-140,-4
1773578476.9037087,21.8,28.9,1,-4188,-124,12
1773578476.92427,21.8,28.9,1,-4188,-124,12
1773578476.9448507,21.8,28.9,1,-4188,-124,12
1773578476.9654574,21.8,28.9,1,-4172,-104,-8
1773578476.9859912,21.8,28.9,1,-4172,-104,-8
1773578477.0067425,21.8,28.9,1,-4172,-104,-8
1773578477.0273962,21.8,28.9,0,-4148,-100,-12
1773578477.0481114,21.8,28.9,0,-4148,-100,-12
1773578477.0695622,21.8,28.9,1,-4164,-116,16
1773578477.0903404,21.8,28.9,1,-4164,-116,16
1773578477.111274,21.8,28.9,1,-4164,-116,16
