timestamp,temp,hum,mic,ax,ay,az
1773578624.0776951,21.4,30.0,1,-4108,-136,-96
1773578624.0979762,21.4,30.0,1,-4108,-136,-96
1773578624.1185155,21.4,30.0,1,-4192,-84,60
1773578624.1391716,21.4,30.0,1,-4192,-84,60
1773578624.159475,21.4,30.0,0,-4220,-104,48
1773578624.1796741,21.4,30.0,0,-4220,-104,48
1773578624.2002335,21.4,30.0,0,-4220,-104,48
1773578624.220934,21.4,30.0,1,-4160,-124,-68
1773578624.241293,21.4,30.0,1,-4160,-124,-68
1773578624.2619314,21.4,30.0,1,-4180,-108,-24
1773578624.2823539,21.4,30.0,1,-4180,-108,-24
1773578624.302961,21.4,30.0,1,-4180,-108,-24
1773578624.3234468,21.4,30.0,1,-4216,-96,64
1773578624.3438282,21.4,30.0,1,-4216,-96,64
1773578624.3645139,21.4,30.0,1,-4216,-96,64
1773578624.3857882,21.4,30.0,0,-4164,-124,-8
1773578624.4062288,21.4,30.0,0,-4164,-124,-8
1773578624.432365,21.4,30.0,1,-4120,-112,-84
1773578624.4531188,21.4,30.0,1,-4120,-112,-84
1773578624.4734156,21.4,30.0,1,-4196,-88,120
1773578624.4939399,21.4,30.0,1,-4196,-88,120
1773578624.514613,21.4,30.0,1,-4196,-88,120
1773578624.535112,21.4,30.0,1,-4188,-84,48
1773578624.5555153,21.4,30.0,1,-4188,-84,48
1773578624.5761447,21.4,30.0,1,-4188,-84,48
1773578624.5968885,21.4,30.0,0,-4132,-124,-104
1773578624.617818,21.4,30.0,0,-4132,-124,-104
1773578624.6383429,21.4,30.0,1,-4188,-108,76
1773578624.6586986,21.4,30.0,1,-4188,-108,76
1773578624.6789804,21.4,30.0,1,-4188,-108,76
1773578624.69961,21.4,30.0,0,-4212,-68,152
1773578624.7198305,21.4,30.0,0,-4212,-68,152
1773578624.7405386,21.4,30.0,1,-4136,-124,-76
1773578624.7607565,21.4,30.0,1,-4136,-124,-76
1773578624.7811687,21.4,30.0,1,-4136,-124,-76
1773578624.8028386,21.4,30.0,1,-4132,-124,-12
1773578624.8233833,21.4,30.0,1,-4132,-124,-12
1773578624.8435793,21.4,30.0,1,-4216,-92,96
1773578624.863854,21.4,30.0,1,-4216,-92,96
1773578624.8841074,21.4,30.0,1,-4216,-92,96
